title,part_of_speech,definition,priority,suggested_etymology,source
զամբյուղ,noun,['basket.'],2,,
զայիֆնալ,verb,"['(dialectal, Erzurum, Javakheti).']",2,,
զանգել,verb,"['to ring.', 'to call (by phone).']",2,,
զանգված,noun,"['accumulation, mass, heap, congeries, aggregation, pile.', 'medley; jumble.', '(physics) mass.', '(programming) array.']",2,,
զառամել,verb,['to grow extremely old; to become decrepit.'],2,,
զավթել,verb,"['to conquer, to seize.', 'to steal.', 'to subjugate, to control.']",2,,
զարգանալ,verb,"['intransitive to develop, improve, progress.', '(intransitive) to develop, improve, progress.']",2,,
զարդարել,verb,"['to adorn, to beautify, to decorate, to ornament, to embellish.']",2,,
զարթնել,verb,"['intransitive to wake up.', '(intransitive) to wake up.']",2,,
զարմանալ,verb,"['to wonder (at), to be surprised/amazed (at).']",2,,
զարմանք,noun,"['astonishment, surprise, wonder, amazement.', 'wonder, marvel, prodigy.']",2,,
զբաղվել,verb,"['to do, be busy with; be occupied with, be engaged in; engage in; concern oneself with.', 'to occupy oneself with; go in for; devote oneself to.', 'to deal with, take upon oneself, take care of.']",2,,
զբոսնել,verb,"['to go for a walk, to take a walk, to stroll, to promenade.']",2,,
զգալ,verb,"['to feel, to sense.', 'to be aware.', 'to foresee, to expect.', 'to feel, to nourish, to entertain.']",1,,
զգածվել,verb,"['archaic to be affected with some feeling.', '(archaic) to be affected with some feeling.']",2,,
զգենալ,verb,"['archaic, transitive to put on (clothes).', '(archaic, transitive) to put on (clothes).']",2,,
զգետնել,verb,"['transitive to fling down, to throw on the ground.', '(transitive) to fling down, to throw on the ground.']",2,,
զեկույց,noun,['report.'],2,,
զեղծել,verb,"['to squander, to waste.', 'to counterfeit, to falsify, to fake, to forge, to fabricate.']",2,,
զեղչ,noun,['discount.'],1,,
զեղչել,verb,"['transitive to discount, to grant a rebate to deduct a certain amount from (a bill, charge, etc.).', '(transitive) to discount, to grant a rebate (to deduct a certain amount from (a bill, charge, etc.)).', '(grammar) to omit of a word or phrase.']",2,,
զեփյուռ,noun,"['zephyr, light breeze.']",2,,
զզվանք,noun,"['disgust, repulsion.', 'disgusting person.']",2,,
զինանոց,noun,"['arsenal, armoury.']",2,,
զինվոր,noun,"['soldier.', '(chess) pawn.', '(card games) jack.']",2,,
զղջալ,verb,"['intransitive to regret, to be sorry.', '(intransitive) to regret, to be sorry.', '(theology) to repent.']",1,,
զոդել,verb,"['to join two things together.', '(technology) to solder.', '(technology) to weld.']",1,,
զորակոչ,noun,"['military draft, conscription.', '(military) draft, conscription.']",2,,
զորամաս,noun,"['military military unit.', '(military) military unit.']",2,,
զորապետ,noun,"['commander, army commander, military leader.']",2,,
զորավար,noun,"['military commander, military leader; general.', '(military) commander, military leader; general.']",2,,
զվարճանք,noun,['synonym of զվարճություն (zvarčutʻyun).'],2,,
զրույց,noun,"['conversation, discussion, talk.', 'story, tradition, fairy-tale (told orally).', 'short story or short poem.', 'essay.', 'news.', 'gossip, rumor.', '(archaic) saying, expression.']",2,,
էակ,noun,"['being, creature living being.', 'being, creature (living being).', 'man (human being).', 'person, individual.', 'God.']",1,,
էրիկ,noun,"['dialectal husband.', '(dialectal) husband.', '(dialectal) man.']",1,,
էքսպերտ,noun,"['expert.', 'patent examiner, trademark examiner.']",2,,
ըմբիշ,noun,['wrestler.'],1,,
ըմբռնել,verb,"['to understand, to grasp, to comprehend.', 'to be aware of, to be conscious of.', 'to imagine, to visualize.', '(dated) synonym of բռնել (bṙnel).']",2,,
ըմպել,verb,"['literary to imbibe, to drink.', '(literary) to imbibe, to drink.']",1,,
ըմպելիք,noun,"['drink, beverage.']",2,,
ընդավոր,noun,"['botany, in the plural leguminous plants, legumes.', '(botany, in the plural) leguminous plants, legumes.']",2,,
ընդհատել,verb,['to interrupt.'],2,,
ընդունել,verb,"['to receive, to take.', 'to accept, to adopt.', 'to acquire, to assume (a position, an office etc.).', 'to admit (a mistake, etc.).', 'to take for.', 'to receive (visitors).']",2,,
ընթադրել,verb,"['to stamp, to crush, to squash, to trample.', '(rare) to stamp, to crush, to squash, to trample.']",2,,
ընթացք,noun,"['movement, course, development.']",2,,
ընթերցել,verb,"['formal to read.', '(formal) to read.']",2,,
ընկղմել,verb,"['transitive to dip; to plunge.', '(transitive) to dip; to plunge.', '(transitive) to sink.', '(transitive, figuratively) to immerse (in), to plunge (in, into).']",2,,
ընկճել,verb,"['to discourage, to dishearten, to dispirit.', 'to crush, to quell, to humble.', 'to defeat, to vanquish, to conquer.', 'to subjugate, to subdue.', 'to squash, to put down, to humiliate.']",2,,
ընկնել,verb,"['intransitive to fall.', '(intransitive) to fall.', '(intransitive) to fall, to, drop, to decrease.', '(intransitive) to be situated, to be; to lie.', '(intransitive) to fall on, to fall to.', '(intransitive) to fall, to be killed.', '(intransitive) to fall on.', '(intransitive) to find oneself, to get (somewhere); to wind up, to end up.', '(intransitive, colloquial) to get caught (in), to get (into).', '(intransitive) to lose, to fall from.', '(intransitive) be carried away (by).', '(intransitive) to perish, to die (of cattle).']",2,,
ընձուղտ,noun,['giraffe.'],2,,
ընտանիք,noun,"['family.', '(biology, taxonomy) family.']",2,,
ընտրել,verb,"['to choose.', 'to elect.']",2,,
թագավոր,noun,"['king.', '(card games) king.', 'bridegroom (because he carries a crown during the wedding).']",2,,
թաթավել,verb,"['transitive to plunge, immerse, soak, steep, drench, imbue.', '(transitive) to plunge, immerse, soak, steep, drench, imbue.']",2,,
թախանձել,verb,"['to plead, to beg.', '(dated) to bother, pester, importune (with).']",2,,
թակ,noun,"['mallet; beetle.', 'doorknocker.', 'knock, tap.']",1,,
թակույկ,noun,"['literary jug, pitcher, pot, jar.', '(literary) jug, pitcher, pot, jar.']",2,,
թաղանթ,noun,"['film, membrane.']",2,,
թանալ,verb,"['obsolete, transitive to wet, to moisten.', '(obsolete, transitive) to wet, to moisten.']",1,,
թաշկինակ,noun,"['handkerchief.', 'kerchief, headscarf.', '(figuratively) weak-willed, spineless person.']",2,,
թառամել,verb,['to wither.'],2,,
թարգել,verb,"['transitive to give up, quit, abandon a habit or activity.', '(transitive) to give up, quit, abandon (a habit or activity).']",2,,
թափել,verb,"['transitive to empty, to pour out; to spill by accident.', '(transitive) to empty, to pour out; to spill (by accident).', '(transitive) to pour into.', 'to strew, to scatter.', 'to throw down.', 'to throw away, throw out.', '(rare) to found, to cast (in a mould).', '(vulgar, slang) to ejaculate, to cum.', '(figuratively, to express) to pour out, to give vent (to).', 'to shed, to spill.']",1,,
թաքնվել,verb,"['intransitive to hide.', '(intransitive) to hide.']",2,,
թաքուստ,noun,"['hiding place.', 'concealment, hiding.']",2,,
թաքցնել,verb,"['transitive to hide.', '(transitive) to hide.']",2,,
թեկնածու,noun,['candidate.'],2,,
թենիս,noun,['tennis.'],1,,
թերթ,noun,"['petal.', 'leaf.', 'sheet.', 'newspaper.']",1,,
թթվել,verb,"['to turn sour.', '(colloquial) to feel depressed, to mope (around), to languish.']",1,,
թիակ,noun,"['anatomy shoulder blade, scapula, shoulder bone.', 'diminutive of թի (tʻi).', '(anatomy) shoulder blade, scapula, shoulder bone.', 'shoehorn.']",1,,
թիթեղ,noun,"['thin sheet of metal; tin, tin plate.']",1,,
թիթեռ,noun,['butterfly.'],1,,
թիկնապահ,noun,['bodyguard.'],2,,
թիկունք,noun,"['back the rear of the body.', 'back (the rear of the body).', '(military) rear.', 'home front.', '(figuratively) supporter, person to rely on.']",2,,
թիմ,noun,"['team group of people.', 'team (group of people).']",1,,
թիս,noun,"['vulgar quiet fart.', '(vulgar) quiet fart.']",1,,
թիվ,noun,"['number.', 'quantity, number.', 'year; date.', '(grammar) number.']",1,,
թլվատել,verb,"[""to stammer, to stutter (to stumble over one's words)."", 'to distort, to deform.']",2,,
թմբկահար,noun,"['drummer, percussionist.']",2,,
թոթովել,verb,"['intransitive to speak unclearly, to mumble.', '(intransitive) to speak unclearly, to mumble.', '(intransitive) to speak like a baby, to babble, to prattle.', '(intransitive) (to speak when scared or cold) to stammer, to stutter.', '(intransitive, figuratively) to speak or write incoherently, to blather, to ramble.', '(intransitive, figuratively) to speak in general, to speak, to talk.', '(intransitive, figuratively) to murmur, to purl.', '(intransitive, figuratively, of a bird) to sing, to chirp.']",2,,
թովչել,verb,"['transitive to enchant.', '(transitive) to enchant.']",2,,
թուլանալ,verb,"['to weaken, to grow weak (to lose strength).', 'to slacken, to slow down.', 'to wane, to fade.', 'to loosen.', 'to subside, to lessen, to abate.', 'to dim (of light).', 'to become paralyzed.', 'to soften, to relent.', 'to become indifferent, careless.', 'to relax, to loosen up.', 'to laugh boisterously.', 'to have a weak or upset stomach.', 'to fall, to crash, to cave.']",2,,
թումբ,noun,"['embankment, dyke; mound.', 'garden bed.', 'hillock.']",1,,
թունա,noun,"['tuna fish.', 'tuna (fish).']",1,,
թունել,noun,['tunnel.'],2,,
թուր,noun,['sword.'],1,,
թոք,noun,"['anatomy lung.', '(anatomy) lung.']",1,,
թսել,verb,"['informal to fart quietly.', '(vulgar) to fart (quietly).']",1,,
թվանք,noun,"['<ref></ref>.', '(dialectal) handgun, rifle.']",1,,
թրաշել,verb,"['transitive, colloquial to shave, shave off.', '(transitive, colloquial) to shave, shave off.']",2,,
թրթուր,noun,"['caterpillar, grub.', 'caterpillar track.']",2,,
թրծել,verb,"['to burn bricks or pots of clay in order to harden them, to fire.', '(figuratively) to harden.']",1,,
թրև,noun,"['only used in թրեւ գալ (tʻrew gal).', 'only used in թրեւ ածել (tʻrew acel).', 'only used in թրեւ տալ (tʻrew tal).']",1,,
թևք,noun,['sleeve.'],1,,
ժամանել,verb,"['intransitive to arrive.', '(intransitive) to arrive.']",2,,
ժամկոչ,noun,['beadle; sexton; bell ringer.'],2,,
ժամհար,noun,['bell ringer.'],2,,
ժայթքել,verb,"['intransitive to erupt, to gus out.', '(intransitive) to erupt, to gus out.', '(transitive) to eject abruptly, to spew.']",2,,
ժայռ,noun,"['cliff, rock, crag.']",1,,
ժանյակ,noun,['lace.'],2,,
ժանտախտ,noun,"['plague.', '(figuratively) dangerous education, ideology, or doctrine.', '(figuratively) socially harmful situation or habit.', '(offensively) used as a curse.']",2,,
ժառանգել,verb,"['to inherit.', 'to bequeath.']",2,,
ժխտել,verb,"['transitive to deny.', '(transitive) to deny.']",1,,
իմանալ,verb,"['to know.', 'to be aware.', 'to learn, to find out.', 'to recognize.']",2,,
ինքնագիր,noun,['autograph.'],2,,
ինքնաթափ,noun,['dump truck.'],2,,
ինքնաթիռ,noun,['airplane.'],2,,
իշամեղու,noun,"['bumblebee, Bombus<ref></ref>.', 'bumblebee, Bombus.']",2,,
իշայծյամ,noun,"['moose, elk.', 'moose, elk, Alces alces.']",2,,
իջնել,verb,"['intransitive to descend, to come down.', '(intransitive) to descend, to come down.']",1,,
իջևանել,verb,"['to travel and spend the night at an inn or caravanserai.', 'to stay at a hotel.', ""to spend the night at someone's house."", 'to stay with someone or somewhere temporarily.', 'to stop and rest on the way.']",2,,
իրավունք,noun,"['legal right.', '(law) right.']",2,,
լամպար,noun,"['lamp, torch.']",2,,
լայնուցք,noun,"['dialectal.', '(dialectal) synonym of լայնություն (laynutʻyun).']",2,,
լայքել,verb,"['to like (to show support for, or approval of, something posted on the Internet by marking it with a vote).']",2,,
լավանալ,verb,"['to get better, recover, convalesce.', 'to get better, improve.']",2,,
լաց,noun,"['crying, weeping.']",1,,
լացել,verb,"['to weep, to cry.', 'perfective converb of լալ (lal).']",1,,
լափել,verb,"['transitive to lap up, to lick up.', '(transitive) to lap up, to lick up.', '(transitive) to eat up greedily, to devour, to consume.']",1,,
լեզվակ,noun,"['a small tongue-shaped object, such as the tongue of a shoe.', '(anatomy) uvula.']",2,,
լեհ,noun,['Pole.'],1,,
լեռ,noun,"['mountain, mount.', '(dialectal) hard stone.']",1,,
լիազորել,verb,"['to authorize, to empower.']",2,,
լիճ,noun,['lake.'],1,,
լլկանք,noun,"['torture, torment; agony.', 'rape.']",2,,
լկստել,verb,"['transitive, informal to spoil, coddle, pamper.', '(transitive, informal) to spoil, coddle, pamper.']",2,,
լոգանալ,verb,"['intransitive to take a bath.', '(intransitive) to take a bath.']",2,,
լոգանք,noun,"['formal bathing, washing.', '(formal) bathing, washing.']",2,,
լող,noun,['swimming.'],1,,
լոշ,noun,"['pita.', 'lavash (a soft, thin flatbread made with flour, water, yeast, and salt, baked in a tandoor).', 'short flat bread.', 'synonym of արջտակ (arǰtak).']",1,,
լորամարգ,noun,"['a quail-like bird.', 'synonym of լոր (lor).']",2,,
լորտու,noun,"['grass snake.', 'grass snake (Natrix natrix).', '(dialectal) slug (gastropod mollusk having no shell).']",2,,
լուծարել,verb,"['transitive to liquidate, dissolve.', '(transitive) to liquidate, dissolve.']",2,,
լուծել,verb,"['to solve a problem, etc.', 'to solve (a problem, etc.).', '(chemistry) to dissolve.']",2,,
լույս,noun,"['light.', 'dawn, daybreak.', '(colloquial) electricity, power.']",1,,
լուսանցք,noun,"['opening to admit light, window.', 'margin (area between the main content of a page and the page edges).', '(figuratively) margin (the edge defining inclusion in or exclusion from a set or group).']",2,,
լուցել,verb,"['transitive, literary to kindle.', '(transitive, literary) to kindle.']",2,,
լպստել,verb,['to lick.'],2,,
լվանալ,verb,"['to wash.', '(figuratively) to wash away, to remove.', '(figuratively, colloquial) to reprimand, to rebuke, to judge.', '(figuratively) to avenge, to take vengeance.', '(figuratively) to launder.']",2,,
լրջանալ,verb,['to become serious.'],2,,
լրտեսել,verb,"['to spy, to inform.', 'to listen in, to keep watch.', 'to lie in wait, to ambuscade.']",2,,
խազել,verb,['to draw a line; to scratch.'],1,,
խաթաբալա,noun,"['misfortune, setback, troubles.']",2,,
խալիար,noun,"['ramsons.', 'ramsons, Allium ursinum.']",2,,
խալխ,noun,"['people.', 'crowd, multitude (mixed crowd).', 'others, other people who are not relatives, strangers.']",1,,
խախտել,verb,"['to break, infringe, violate, transgress.']",2,,
