title,part_of_speech,definition,suggested_etymology,notes
ըսուիլ,verb,"['to be said, told, called.']",Etymology needs research,
ըստ իս,,"['in my opinion, according to me.']",Etymology needs research,
թակ,noun,"['mallet; beetle.', 'doorknocker.', 'knock, tap.']",Etymology needs research,
թակարթ,noun,"['trap, snare, net, spring.']",Etymology needs research,
թաղանթ,noun,"['film, membrane.']",Etymology needs research,
թարգել,verb,"['transitive to give up, quit, abandon a habit or activity.', '(transitive) to give up, quit, abandon (a habit or activity).']",Etymology needs research,
թաքչել,verb,"['alternative form of թաքնվել.', 'alternative form of թաքնվել (tʻakʻnvel).']",Etymology needs research,
թերեւս,adverb,"['perhaps, it may be.']",Etymology needs research,
թեւ,noun,"['arm, wing.']",Etymology needs research,
թիկնեղ,adj,"['strong-backed, broad-shouldered.']",Etymology needs research,
թիմ,noun,"['team group of people.', 'team (group of people).']",Etymology needs research,
թիռ,adv,"['rare flight, flying.', '(rare) flight, flying.', 'flying, by flying, gliding.', 'in a light manner, smoothly.']",Etymology needs research,
թիս,noun,"['vulgar quiet fart.', '(vulgar) quiet fart.']",Etymology needs research,
թիվ,noun,"['number.', 'quantity, number.', 'year; date.', '(grammar) number.']",Etymology needs research,
թիւ,noun,"['number, figure, order, rank, list.']",Etymology needs research,
թմբլիկ,adj,"['chubby, plump.']",Etymology needs research,
թովչել,verb,"['transitive to enchant.', '(transitive) to enchant.']",Etymology needs research,
թունել,noun,['tunnel.'],Etymology needs research,
թոք,noun,"['anatomy lung.', '(anatomy) lung.']",Etymology needs research,
թրաշել,verb,"['transitive, colloquial to shave, shave off.', '(transitive, colloquial) to shave, shave off.']",Etymology needs research,
թրթուր,noun,"['caterpillar, grub.', 'caterpillar track.']",Etymology needs research,
թրթռալ,verb,"['to vibrate, to oscillate, to flutter, to pulse, to pulsate; to shiver.']",Etymology needs research,
թրև,noun,"['only used in թրեւ գալ (tʻrew gal).', 'only used in թրեւ ածել (tʻrew acel).', 'only used in թրեւ տալ (tʻrew tal).']",Etymology needs research,
թևավոր,adj,"['winged, having wings.']",Etymology needs research,
թևք,noun,['sleeve.'],Etymology needs research,
ժամկոչ,noun,['beadle; sexton; bell ringer.'],Etymology needs research,
ժամհար,noun,['bell ringer.'],Etymology needs research,
ժանյակ,noun,['lace.'],Etymology needs research,
ժոխ,noun,"[', unknown origin.', '(Khotorjur) a kind of fruit of the genus Ribes, probably gooseberry, Ribes uva-crispa or Ribes orientale; in Turkish called frenk üzümü.', '(Hamshen) raspberry (fruit of Rubus idaeus).']",Etymology needs research,
ժպրհիլ,verb,"['To dare, to venture, to have the audacity or courage to attempt something bold or difficult.']",Etymology needs research,
ի սպառ,adverb,"['entirely, totally, to the end, finally, wholly, at last, altogether, quite.']",Etymology needs research,
իբր,adv,"['as, like.', 'as if.', 'supposedly, presumably.', '(archaic) approximately, close.', '(archaic) when, while.', 'though, even though.']",Etymology needs research,
իհարկե,adv,"['of course, certainly, sure.']",Etymology needs research,
իմանալ,verb,"['to know.', 'to be aware.', 'to learn, to find out.', 'to recognize.']",Etymology needs research,
ինչ,conj,"['what? (interrogative pronoun).', 'what (indefinite pronoun).', 'something, some kind of thing, whatever thing, anything, everything (indefinite pronoun).', 'what? (interrogative determiner).', 'what! how! (exclamatory).', 'some, some kind of, whatever, any, every (indefinite determiner).', 'that, which.', 'as, like; compare ինչպես (inčʻpes).']",Etymology needs research,
իսկ,conj,"['while, and, but.', 'even.', 'very, precisely, exactly.']",Etymology needs research,
իրազեկ,adj,"['informed, aware; knowledgeable.']",Etymology needs research,
իրապէս,adverb,"['really, in effect, positively; de facto, substantially: naturally.']",Etymology needs research,
լամպար,noun,"['lamp, torch.']",Etymology needs research,
լայքել,verb,"['to like (to show support for, or approval of, something posted on the Internet by marking it with a vote).']",Etymology needs research,
լավ,adj,"['good.', 'good, fine, OK.']",Etymology needs research,
լար,noun,"['rope, rein, cable, cord, string.', '(geometry) chord.', '(Lori, Ghazakh, Karabakh) long and narrow strip of tilled land.', '(dialectal) one side of a stable along its length.']",Etymology needs research,
լաց,noun,"['crying, weeping.']",Etymology needs research,
լեզվակ,noun,"['a small tongue-shaped object, such as the tongue of a shoe.', '(anatomy) uvula.']",Etymology needs research,
լեհ,noun,['Pole.'],Etymology needs research,
լեպ,noun,"['dialectal, Karabakh a layer of dirt formed on the tongue because of illness.', '(dialectal, Karabakh) a layer of dirt formed on the tongue because of illness.', '(dialectal, Karabakh) dregs, sediment.']",Etymology needs research,
լեռ,noun,"['mountain, mount.', '(dialectal) hard stone.']",Etymology needs research,
լեցուկ,adjective,"['completely filled or occupied; full, filled.']",Etymology needs research,
լիճ,noun,['lake.'],Etymology needs research,
լինեիր,verb,['second-person singular future perfect subjunctive/optative of լինել (linel).'],Etymology needs research,
լինեիք,verb,['second-person second-person future perfect subjunctive/optative of լինել (linel).'],Etymology needs research,
լիր,adj,"['plenitude, fullness.', 'embankment.', '(rare) synonym of լի (li).']",Etymology needs research,
լլկանք,noun,"['torture, torment; agony.', 'rape.']",Etymology needs research,
լծուիլ,verb,"['to be joined, to be coupled, to be coupled or attache with or to a yoke; to be attached; to be committed to or engaged to a particular activity.']",Etymology needs research,
լկստել,verb,"['transitive, informal to spoil, coddle, pamper.', '(transitive, informal) to spoil, coddle, pamper.']",Etymology needs research,
լոգանք,noun,"['formal bathing, washing.', '(formal) bathing, washing.']",Etymology needs research,
լոկ,adj,"['only, just, mere.', 'only, sole.', 'regular, simple.', '(dialectal, Van) bare, naked.', '(dialectal) innutritious; lean.', '(dialectal, Van) the innutritious layer of water on the surface of tan.', '(dialectal, Karabakh) synonym of լորտու (lortu).']",Etymology needs research,
լող,noun,['swimming.'],Etymology needs research,
լոշ,noun,"['pita.', 'lavash (a soft, thin flatbread made with flour, water, yeast, and salt, baked in a tandoor).', 'short flat bread.', 'synonym of արջտակ (arǰtak).']",Etymology needs research,
լորտու,noun,"['grass snake.', 'grass snake (Natrix natrix).', '(dialectal) slug (gastropod mollusk having no shell).']",Etymology needs research,
լուացք,noun,['laundry; the action or process of washing clothes and linen; clothes and linen that need to be washed or that have been newly washed.'],Etymology needs research,
լուծել,verb,"['to solve a problem, etc.', 'to solve (a problem, etc.).', '(chemistry) to dissolve.']",Etymology needs research,
լուցել,verb,"['transitive, literary to kindle.', '(transitive, literary) to kindle.']",Etymology needs research,
լպստել,verb,['to lick.'],Etymology needs research,
լսուիլ,verb,"['to be heard, to be audible.']",Etymology needs research,
լվանալ,verb,"['to wash.', '(figuratively) to wash away, to remove.', '(figuratively, colloquial) to reprimand, to rebuke, to judge.', '(figuratively) to avenge, to take vengeance.', '(figuratively) to launder.']",Etymology needs research,
լրանալ,verb,"['to be through, to be finished, to end, to be complete, to expire.']",Etymology needs research,
լրատու,adj,"['someone or something giving information.', 'information-giving, informing.']",Etymology needs research,
լրջմիտ,adj,"['serious, thoughtful.', 'seriously, thoughtfully.']",Etymology needs research,
խաբեբա,adj,"['lying, mendacious.', 'liar, deceiver.']",Etymology needs research,
խազ,noun,"[', argues for an borrowing, ultimately going back to , sigmatic aorist of ; compare , .', 'line; notch.', 'note (in ancient Armenian musical notation system).', 'parting line of hair.']",Etymology needs research,
խաժ,adj,"['bluish-green, teal.']",Etymology needs research,
խալիար,noun,"['ramsons.', 'ramsons, Allium ursinum.']",Etymology needs research,
խախտել,verb,"['to break, infringe, violate, transgress.']",Etymology needs research,
խախտիլ,verb,"['to move, to be removed, displaced.']",Etymology needs research,
խակ,adj,"['Kurdish:.', 'unripe.', '(figuratively, of a person) unfledged, callow, young; immature, childish, puerile.', '(figuratively, of thought) unsophisticated, simple, unrefined.', 'unsophisticatedly, simply.']",Etymology needs research,
խահ,noun,"['archaic food, victuals.', '(archaic) food, victuals.']",Etymology needs research,
խաղ,noun,"['game, play.', '(theater, film) acting, performing.', '(dialectal) song, tune.', 'dance.', 'prank; joke.', 'modulations of voice during singing.']",Etymology needs research,
խամրիլ,verb,"['to fade, to wither, to tarnish, to dry; to waste away, to languish, to grow weak.']",Etymology needs research,
խանդել,verb,"[""to be jealous to feel or to show suspicion of someone's unfaithfulness in a relationship."", ""to be jealous (to feel or to show suspicion of someone's unfaithfulness in a relationship).""]",Etymology needs research,
խաչ,noun,"['cross geometrical figure.', 'cross (geometrical figure).', '(Christianity) the cross.', '(figuratively) cross, sorrows, tribulation.', '(card games) club.']",Etymology needs research,
խապրիկ,noun,"['news, any news, insignificant news.']",Etymology needs research,
խառնել,verb,"['to stir, to mix.', 'to mix up, to confuse with.', 'to entangle, to intertwine.', 'to confuse.', 'to agitate.', '(card games) to shuffle.']",Etymology needs research,
խառնիչ,noun,"['a device or tool for mixing, mixer.']",Etymology needs research,
խավ,noun,"['nap (the thin layer of hairs, threads, or similar small projections on the surface of fabric).', 'trichome (hair-like extensions on the surface of a plant or fruit).', '(figuratively) social stratum or grouping within a population (on the basis of economic class, ethnicity, culture, etc.).']",Etymology needs research,
խարշել,verb,"['alternative form of խաշել.', 'alternative form of խաշել (xašel).']",Etymology needs research,
խարոյկ,noun,"['wood pile, pyre, woodhouse, stake; fire, bonfire.']",Etymology needs research,
խեժ,noun,"['resin.', 'gum.', 'frankincense, incense.', 'colostrum.', '(Western Armenian) glue.']",Etymology needs research,
խզուիլ,verb,"['to be cut off, broken, or interrupted; to be disconnected or discontinued.']",Etymology needs research,
խթանել,verb,"['to spur.', 'to prod, to poke, to goad.', '(figuratively) to stimulate, to prompt.', '(figuratively) to incite, to urge on.']",Etymology needs research,
խիտ,adj,"['dense, thick, compact.']",Etymology needs research,
խլուիլ,verb,"['to be plucked up, to rooted out, to extirpated.']",Etymology needs research,
