title,part_of_speech,definition,current_etymology,priority
գետնառյուծ,noun,"['rare chameleon.', '(rare) chameleon.']",,3
գերակա,adj,"['having precedence, eminent, high.']",,2
գերիրապաշտություն,noun,['surrealism.'],,3
գերխնդիր,noun,"['top priority, prime concern (something of great importance).']",,2
գերծել,verb,"['archaic, transitive to shave.', '(archaic, transitive) to shave.']",,2
գերմանացի,noun,['German.'],,3
գերշուկա,noun,"['rare supermarket.', '(rare) supermarket.', '(rare) hypermarket.']",,2
գժտվել,verb,"['inflection of գժտել.', 'mediopassive of գժտել (gžtel).', 'to quarrel, fall out with.']",,2
գիլաս,noun,"['dialectal sweet cherry fruit.', '(dialectal) sweet cherry (fruit).']",,1
գիծ,noun,"['dialectal forms recorded in dialectological notation<ref></ref>.', 'line.']",,1
գիշատել,verb,"['to tear to pieces, to devour.']",,2
գիտեմ,verb,['I know.'],,1
գիրգ,adj,"['plump, delicate, soft, tender.']",,1
գիրկ,noun,"['arms, lap, bosom.']",,1
գլադիատոր,noun,['gladiator.'],,3
գլանիկ,noun,['cigarette.'],,2
գլուխը ծեծել,,"['to sob, mourn, grieve.']",,3
գլուխկոտրուկ,noun,"['brain-teaser, puzzle.']",,3
գյոզ,noun,"['dialectal, colloquial eye.', '(dialectal, colloquial) eye.']",,1
գյոթվերան,noun,"['faggot, fag.', 'motherfucker, dickhead (severe insult).']",,3
գյոռ,noun,"['Muslim grave.', '(derogatory, offensive) any grave.']",,1
գնդացիր,noun,['machine gun.'],,2
գնոստիկ,noun,['a Gnostic.'],,2
գոգ,noun,"['lap.', 'hollow, depression in the earth.', 'lap, hem (of clothes).']",,1
գոմեշ,noun,['buffalo.'],,1
գոտի,noun,"['belt, girdle; sash, waistband.', '(geography) zone, belt.', 'zone (a given area distinguished on t",,1
գորիլա,noun,['gorilla.'],,2
գութ,noun,"['<ref name=""HAB""></ref>.', 'pity, compassion.']",,1
գումարել,verb,"['to add up, sum up.']",,2
գունագեղ,adj,['colorful; variegated.'],,2
գուշակել,verb,"['to foretell, to predict.', 'to understand, to get.', 'to anticipate.', ""to tell fortunes, to tell ",,2
գուպար,noun,"['fight, struggle, battle.', '(archaic) fight, struggle, battle.']",,2
գուջարաթի,noun,"['Gujarati language.', 'Gujarati (language).']",,3
գուռ,noun,"['abreuvoir, watering trough for people or animals.', 'abreuvoir, watering trough (for people or ani",,1
գրադարանավար,noun,"['librarian one who cares for the publications, files, etc., in a library.', 'librarian (one who car",,3
գրադիենտ,noun,"['calculus gradient.', '(calculus) gradient.', '(physics) gradient.', '(linear algebra) gradient.']",,2
գրառել,verb,"['to write, to write down, to record.']",,2
գրավ,noun,"['pledge, security, surety.', 'deposit, prepayment.', '(archaic) wager.']",,1
գրավիտացիա,noun,"['physics gravity.', '(physics) gravity.']",,3
գրգռել,verb,"['to excite, to stimulate.', 'to irritate, to annoy.', 'to intensify, to aggravate.', 'to arouse (se",,2
գրել,verb,['to write.'],,1
գրեյպֆրուտ,noun,"['grapefruit tree and fruit of.', 'grapefruit (tree and fruit of Citrus paradisi).']",,3
գրենա,noun,['grain; silkworm eggs.'],,1
գրիժա,noun,['synonym of ճողվածք (čoġvackʻ).'],,1
գրկախառնել,verb,"[""transitive to hug tightly, to wrap one's arms around somebody."", ""(transitive) to hug tightly, to ",,3
գրկախառնվել,verb,"['intransitive to hug, to embrace one another.', '(intransitive) to hug, to embrace one another.']",,3
գրկել,verb,"['to embrace, hug.']",,1
գրոհել,verb,"['to attack, assault, storm.']",,2
գրչություն,noun,['the art of writing manuscripts.'],,3
դագանակ,noun,"['stick, cane, rod.']",,2
դադարգյուն,adj,"['dispossessed, down and out, having no home or possessions.', '(dialectal) dispossessed, down and o",,3
դալլաք,noun,"['dialectal hairdresser.', '(dialectal) hairdresser.']",,2
դանակ,noun,['knife.'],,1
դանդանավանդ,noun,"['archaic bit, curb.', '(archaic) bit, curb.', '(archaic) gag.']",,3
դաշնակցական,adj,"['a member of the Armenian Revolutionary Federation.', 'of or pertaining to the Armenian Revolutiona",,3
դաշույն,noun,['dagger.'],,2
դաշտ,noun,"['field.', '(sports) playing field, sports ground.', '(physics) field.', 'field, sphere.']",,1
դաչա,noun,['dacha.'],,1
դավադրել,verb,['to conspire.'],,2
դավաճան,noun,"['traitor, betrayer.', 'renegade.', 'adulterer, adulteress.']",,2
դավաճանել,verb,"['to betray.', 'to commit adultery.']",,3
դատարկել,verb,['to empty.'],,2
դատել,verb,"['to judge, to try, to adjudicate.', 'to judge (to form an opinion on), to draw a conclusion, to app",,1
դարանակալել,verb,"['to ambush, to waylay, to lie in wait.']",,3
դարձգիր,noun,"['neologism palindrome.', '(neologism) palindrome.']",,2
դարվազա,noun,['gate.'],,2
դեբիլ,adj,"['moron, imbecile, idiot.', 'stupid; moronic, idiotic.']",,1
դեմոկրատիա,noun,['democracy.'],,3
դեպք,noun,"['incident, event, occurrence.', 'condition, circumstance.', '(archaic) occasion.']",,1
դետ,noun,"['patrol, watch.', 'scout, sentinel.', '(dated) lookout-place, peak, height.', 'spy.']",,1
դետեկտիվ,noun,['detective story.'],,2
դերակատար,noun,"['theatre, cinema roleplayer, performer of a role, performer of a part of, actor.', '(theater, film)",,3
դերանուն,noun,"['grammar pronoun.', '(grammar) pronoun.']",,2
դեֆիցիտ,noun,"['economics, finance deficit.', '(economics, finance) deficit.']",,2
դզել,verb,"['colloquial to straighten, to correct.', '(colloquial) to straighten, to correct.', '(colloquial) t",,1
դիել,verb,"['intransitive to suck, to drink mother’s milk.', '(intransitive) to suck, to drink mother’s milk.',",,1
դիետա,noun,"['diet food a person or animal consumes.', 'diet (food a person or animal consumes).', 'diet (contro",,1
դիզայներ,noun,['designer.'],,2
դիմավորել,verb,"['to see in, meet, receive, welcome, greet.', '(dated) to personify.']",,3
դինաստիա,noun,['dynasty.'],,2
դիսկուրս,noun,"['social sciences discourse.', '(social sciences) discourse.']",,2
դիստրիբյուտոր,noun,"['distributor intermediary between manufacturer and reseller.', 'distributor (intermediary between m",,3
դիվիդենտ,noun,"['finance dividend.', '(finance) dividend.']",,2
դիտակ,noun,"['the generic name of various optical instruments used for viewing distant objects.', '(dated) watch",,1
դիտողություն,noun,"['observation.', 'comment, remark (light critique).', 'disciplinary penalty.', 'research, study, sur",,3
դիտում,noun,"['viewing; observation.', 'contemplation.', 'design, intention.']",,2
դլփին,noun,"['Alternative of դելփին.', 'rare form of դելֆին (delfin).']",,1
դմբրել,noun,['synonym of թմրել (tʻmrel).'],,2
դնել,verb,"['to put, to lay.', 'to impose, to inflict.', 'to insert, to put in.', 'to put on (hat, glasses, etc",,1
դոկտոր,noun,"['doctor (a person who has attained a doctorate).', '(colloquial, dated) physician, medical doctor.'",,2
դոն,noun,"['dialectal kind of longish bread.', '(dialectal) kind of longish bread.']",,1
դոշ,noun,"['breast.', 'chest.', 'brisket.']",,1
դոցենտ,noun,"['docent, reader, associate professor.']",,2
դուբինկա,noun,"['bludgeon, cudgel; truncheon, club, baton.']",,2
դուբինկել,verb,"['transitive to bludgeon, to cudgel; to truncheon, to club, to baton.', '(transitive) to bludgeon, t",,3
դուդուկ,noun,['duduk.'],,2
դուզնաքյա,adj,"['archaic little.', '(archaic) little.']",,3
դուխովկա,noun,['oven.'],,2
դույզն,adj,"['archaic very little, exiguous.', '(archaic) very little, exiguous.', '(archaic) a little; a trifle",,2
դույլ,noun,"['bucket, pail.']",,1
դույն,pron,['that same.'],,1
դուրգ,noun,"[""potter's wheel.""]",,1
դուք,,['personal you plural.'],,1
դուք,,['personal you plural.'],,1
դրակոն,noun,['dragon.'],,2
դրժել,verb,"[""transitive to break one's word, to violate an oath."", ""(transitive) to break one's word, to violat",,1
դրույք,noun,"['rate, wage, salary.']",,2
դրվագ,noun,"['ornament, adornment, decoration.', 'embroidery, trimming, needlework.', 'incrustation, encrustatio",,1
դրվատել,verb,"['literary to praise.', '(literary) to praise.']",,2
եզակի,adj,"['grammar singular.', '(grammar) singular.', 'singular, unique, one of a kind.']",,1
եթիմ,adj,"['orphan.', 'orphaned.']",,1
ելմակ,noun,"['Western Armenian, rare email.', '(Western Armenian, rare) email.']",,1
եղբայրական գերեզման,,['mass grave.'],,3
եղբայրասպանություն,noun,"[""fratricide killing of one's brother."", ""fratricide (killing of one's brother).""]",,3
եղեռնադատ,adj,"['legal, of a court presiding over criminal cases.', '(law, of a court) presiding over criminal case",,3
եղինջ,noun,['nettle.'],,1
եղյամ,noun,"['frost, hoarfrost, rime.', '(figuratively) white hair on the head, hoar.']",,1
եղունգ,noun,"['nail.', 'nail (of finger or toe).']",,2
եղտյուր,noun,"['an abundantly irrigated, watery place.']",,2
եմիշ,noun,"['melon.', 'melon (Cucumis melo).', 'fruit.']",,1
ենթակայան,noun,['substation site where electricity supplied by long-distance transmission lines is transformed and/,,3
ենթասպա,noun,"['military rank a rank in the Armenian Armed Forces equivalent to.', '(military) a rank in the Armen",,2
ենիչերի,noun,"['historical janissary.', '(historical) janissary.']",,2
եռանկյուն,noun,['triangle.'],,3
եվրեյ,noun,['Jew.'],,1
ետև,adv,"['back.', 'behind.', 'after.', 'the backside, the rear part.', '(euphemistic) butt.']",Etymology needs research - no usable data found,1
երազ,noun,"['dream imaginary events seen while sleeping.', 'dream (imaginary events seen while sleeping).']",,1
երամակ,noun,"['drove, herd, flock.']",,2
երաշխիք,noun,"['guarantee.', 'warranty.']",,2
երաստան,noun,"['buttocks, ass.']",,2
երե,noun,['herbivorous game animal.'],,1
երեկոյան,adj,"['attributive evening.', '(attributive) evening.', 'in the evening.']",,2
երեսպաշտ,noun,['hypocrite.'],,2
երեսպաշտություն,noun,['hypocrisy.'],,3
երթալ,verb,"['dialectal, or, Western Armenian to go.', '(dialectal or Western Armenian) to go.']",,1
երթուղային տաքսի,,"['formal marshrutka, minibus, fixed route taxi.']",,3
երթևեկելի մաս,,"['roadway, carriageway the part of a road that carries traffic.']",,3
երիկամ,noun,['kidney.'],,2
երիտասարդանալ,verb,"['intransitive to be rejuvenated, to become young.', '(intransitive) to be rejuvenated, to become yo",,3
երիտասարդություն,noun,"['youth the quality or state of being young.', 'youth (the quality or state of being young).', 'yout",,3
երիցուկ,noun,['camomile.'],,2
երկաթե վարագույր,,['Iron Curtain.'],,3
երկաթուղի,noun,"['railway, railroad.']",,3
երկինք,noun,"['sky.', 'heaven.']",,2
երկիր,noun,"['country, state.', 'land, territory.']",,1
երկյուղել,verb,"['to feel or get scared, frightened, terrified.']",,3
երկնաթռիչ,adj,"['that flies, soars to heaven.']",,3
երկնակառույց,adj,"['literary, rare founded in heaven, constructed in heaven.', '(literary, rare) founded in heaven, co",,3
երկնաքեր,noun,['skyscraper.'],,2
երկրագունդ,proper noun,"['Earth planet.', 'Earth (planet).']",,3
երջանկահիշատակ,adj,['of blessed memory.'],,3
երևալ,verb,"['to appear.', 'to emerge, to come out.', 'to be published.']",,1
եֆրեյտոր,noun,"['military rank a rank in the Armenian Armed Forces equivalent to.', '(military) a rank in the Armen",,2
զագառ,noun,"['tan, suntan.']",,1
զազրոտի,noun,"['something abominable, hateful.', '(archaic) idol.']",,2
զաիֆնալ,verb,"['alternative form of զայիֆնալ.', 'alternative form of զայիֆնալ (zayifnal).']",,2
զալ,noun,"['hall.', 'living room.', 'clipping of սպորտզալ (sportzal, “gym”).']",,1
զայիֆնալ,verb,"['(dialectal, Erzurum, Javakheti).']",,2
զանազան,adj,"['different, various, diverse.']",,2
զանգել,verb,"['to ring.', 'to call (by phone).']",,2
զանգվածային ոչնչացման զենք,,['weapon of mass destruction.'],,3
զառիվեր,adj,"['steep.', 'slope, rise.']",,2
զավթել,verb,"['to conquer, to seize.', 'to steal.', 'to subjugate, to control.']",,2
զարհուր,adj,"['terrifying, horrifying.', 'terrified, horrified.', 'in the manner of being terrified, horrified.',",,2
զբաղվել,verb,"['to do, be busy with; be occupied with, be engaged in; engage in; concern oneself with.', 'to occup",,2
զգալ,verb,"['to feel, to sense.', 'to be aware.', 'to foresee, to expect.', 'to feel, to nourish, to entertain.",,1
զգածվել,verb,"['archaic to be affected with some feeling.', '(archaic) to be affected with some feeling.']",,2
զգացմունք,noun,"['feeling, emotion.']",,3
զգենալ,verb,"['archaic, transitive to put on (clothes).', '(archaic, transitive) to put on (clothes).']",,2
զգետնել,verb,"['transitive to fling down, to throw on the ground.', '(transitive) to fling down, to throw on the g",,2
զգուշացնել,verb,"['transitive to warn.', 'causative of զգուշանալ (zgušanal).', '(transitive) to warn.']",,3
զեկույց,noun,['report.'],,2
զեղխ,adj,"['literary intemperate, lewd, debauched, dissolute.', '(literary) intemperate, lewd, debauched, diss",,1
զեղչ,noun,['discount.'],,1
զեղչել,verb,"['transitive to discount, to grant a rebate to deduct a certain amount from (a bill, charge, etc.).'",,2
զենք,noun,"['arm, weapon.']",,1
զեփյուռ,noun,"['zephyr, light breeze.']",,2
զիբիլ,adj,"['colloquial litter, rubbish, garbage, trash.', '(colloquial) litter, rubbish, garbage, trash.', '(c",,1
զինծառայող,noun,"['serviceman, soldier.', 'acronym of զինվորական ծառայող (zinvorakan caṙayoġ), serviceman, soldier.']",,3
զինկոմիսարիատ,noun,"['Acronym of զինվորական կոմիսարիատ / [Non-English or unclear definition removed.].', 'acronym of զին",,3
զղջալ,verb,"['intransitive to regret, to be sorry.', '(intransitive) to regret, to be sorry.', '(theology) to re",,1
զոբ,noun,['goitre/goiter.'],,1
